Date,Host,Service,Content
"2026-03-31T18:55:23.181Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T18:55:23.143Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T18:55:03.873Z","i-0d80a82297acd2637","protocols/base-proofs","Started RPC server"
"2026-03-31T18:55:03.873Z","i-0d80a82297acd2637","protocols/base-proofs","Started pprof service"
"2026-03-31T18:55:03.873Z","i-0d80a82297acd2637","protocols/base-proofs","Metricer disabled"
"2026-03-31T18:55:03.873Z","i-0d80a82297acd2637","protocols/base-proofs","Starting"
"2026-03-31T18:55:03.873Z","i-0d80a82297acd2637","protocols/base-proofs","registered API"
"2026-03-31T18:54:52.884Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T18:54:52.882Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T18:54:52.873Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T18:54:52.842Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T18:54:52.841Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T18:54:52.835Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T18:54:36.427Z","i-0d80a82297acd2637","protocols/base-proofs","waiting for signer to be ready"
"2026-03-31T18:54:36.427Z","i-0d80a82297acd2637","protocols/base-proofs","Loading environment variables from /envmapper/mapping.env"
"2026-03-31T18:54:22.611Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T18:54:22.611Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T18:54:22.604Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T18:54:22.557Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T18:54:22.554Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T18:54:22.547Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T18:54:21.959Z","i-0d80a82297acd2637","protocols/base-proofs","Health server started"
"2026-03-31T18:54:21.958Z","i-0d80a82297acd2637","protocols/base-proofs","starting registration driver"
"2026-03-31T18:54:21.632Z","i-0d80a82297acd2637","protocols/base-proofs","Serving metrics"
"2026-03-31T18:54:21.428Z","i-0d80a82297acd2637","protocols/base-proofs","Registrar starting"
"2026-03-31T18:54:20.090Z","i-0d80a82297acd2637","protocols/base-proofs","successfully created a delegated JWT creator"
"2026-03-31T18:54:20.076Z","i-0d80a82297acd2637","protocols/base-proofs","attempt to create a delegated JWT creator"
"2026-03-31T18:54:20.053Z","i-0d80a82297acd2637","protocols/base-proofs","attempt to enable auth-agent"
"2026-03-31T18:54:20.053Z","i-0d80a82297acd2637","protocols/base-proofs","anchor environment check"
"2026-03-31T18:54:20.053Z","i-0d80a82297acd2637","protocols/base-proofs","SPIRE only mode enabled, S2S key fetching disabled"
"2026-03-31T18:54:20.051Z","i-0d80a82297acd2637","protocols/base-proofs","Allowlisting local development service ID as we are running in a development environment"
"2026-03-31T18:54:20.051Z","i-0d80a82297acd2637","protocols/base-proofs","anchor socket detection"
"2026-03-31T18:54:20.049Z","i-0d80a82297acd2637","protocols/base-proofs","Adding managed service: profiler"
"2026-03-31T18:54:20.044Z","i-0d80a82297acd2637","protocols/base-proofs","Starting signer"
